activitat_id,activitat,aula_id,startdate,duedate,grade
3,Problema 1.1 - Hello world!!!,87,0,0,100
4,Problema 1.2 - Hello world!!! ++,87,0,0,100
5,Problema 3a.1: C�lcul edat,87,0,0,100
6,Problema 3a.8: Conversi� d�lars a euros,87,0,0,100
7,Problema 3a.11: Mitjana de notes,87,0,0,100
8,Problema 3a.13: Conversi� Celsius a Fahrenheit,87,0,0,100
9,Problema 3a.15: Expressions aritm�tiques amb divisions,87,0,0,100
10,Problema 3a.17: Unitats de miler,87,0,0,100
11,Problema 3a.2: Operadors relacionals,87,0,0,100
12,Problema 3a.3: Operadors l�gics,87,0,0,100
13,Problema 3a.4: Operadors l�gics (II),87,0,0,100
14,"Problema 3a.18: Nom, cognom i edat",87,0,0,100
15,Problema 3a.20: Car�cters i codi ASCII,87,0,0,100
16,Problema 3a.21: Expressions l�giques,87,0,0,100
17,(OPCIONAL) Problema 3b.1: �s de l'interval?,87,0,0,100
18,Problema 3b.2: Sumar un segon,87,0,0,100
19,Problema 3b.10: Edat de treballar,87,0,0,100
20,Problema 3b.12: Ordenar dos nombres,87,0,0,100
21,(OPCIONAL) Problema 3b.3: Positiu o negatiu?,87,0,0,100
22,Problema 3b.4: Vocal o Consonant?,87,0,0,100
23,Problema 3b.14: Menor o major d'edat,87,0,0,100
24,Problema 3b.17: Any de trasp�s,87,0,0,100
25,"Problema 3b.5: Positiu, negatiu o zero?",87,0,0,100
26,Problema 3b.6: C�lcul Salari,87,0,0,100
27,Problema 3b.19: Edat i treball,87,0,0,100
28,(OPCIONAL) Problema 3b.20: Iguals o diferents?,87,0,0,100
29,Problema 3b.22: C�lcul del preu final,87,0,0,100
30,Problema 3b.25: Nota acta,87,0,0,100
31,Problema 3b.27: El m�s gran de quatre n�meros,87,0,0,100
32,Problema 3b.7: Men� de tasques,87,0,0,100
33,(OPCIONAL) Problema 3b.8: Vocal o consonant? (versi� 2),87,0,0,100
34,Problema 3b.31: Canvi de divises,87,0,0,100
35,(OPCIONAL) Problema 3b.33: Zod�ac xin�s,87,0,0,100
36,Problema 3b.35: Morse,87,0,0,100
37,Problema 3b.36: Data correcta,87,0,0,100
38,Problema 3b.37: Calculadora,87,0,0,100
39,Problema 3c.1: Sumatori dels 10 primers valors enters,87,0,0,100
40,(OPCIONAL) Problema 3c.2: Sumatori d'un nombre (while),87,0,0,100
41,Problema 3c.8: Mitjana d'una seq��ncia,87,0,0,100
42,(OPCIONAL) Problema 3c.10: Seq��ncia de senars?,87,0,0,100
43,Problema 3c.12: M�xim i m�nim d'una seq��ncia,87,0,0,100
44,Problema 3c.14: Rellotge digital,87,0,0,100
45,(OPCIONAL) Problema 3c.16: Estad�stica de notes,87,0,0,100
46,Problema 3c.17: Calculadora multi-operaci�,87,0,0,100
47,Problema 3c.19: �s primer?,87,0,0,100
48,(OPCIONAL) Problema 3c.3: Sumatori dels 10 primers valors enters,87,0,0,100
49,Problema 3c.4: Sumatori d'un nombre (for),87,0,0,100
50,Problema 3c.22: S�ries num�riques,87,0,0,100
51,Problema 3c.24: Pot�ncies de 2 fins 2^N,87,0,0,100
52,Problema 3c.25: Positius i negatius,87,0,0,100
53,"Problema 3c.27: Suma, producte i mitjana",87,0,0,100
54,Problema 4.1: Hashtags,87,0,0,100
55,Problema 4.2: Canvi del format d'una data,87,0,0,100
56,Problema 4.7: Subcadenes,87,0,0,100
57,Problema 4.10: Cadena modificada,87,0,0,100
58,(OPCIONAL) Problema 4.11: Zod�ac xin�s,87,0,0,100
59,Problema 4.13: Dies de la setmana,87,0,0,100
60,Problema 4.3: El sed�s d'Erat�stenes,87,0,0,100
61,Problema 4.14: Llistes d'aprovats i suspesos,87,0,0,100
62,(OPCIONAL) Problema 4.16: Partici� de llista,87,0,0,100
63,Problema 4.17: Men� d'operacions sobre llistes,87,0,0,100
64,(OPCIONAL) Problema 4.18: Llista de llistes,87,0,0,100
65,Problema 4.4: Comptar vocals en un string,87,0,0,100
66,Problema 4.5: Hi ha parells?,87,0,0,100
67,Problema 4.20: Substituir negatius,87,0,0,100
68,Problema 4.21: Maj�scules,87,0,0,100
69,(OPCIONAL) Problema 4.23: Edat de comen�ar a caminar,87,0,0,100
70,(OPCIONAL) Problema 4.25: M�xim d'una llista,87,0,0,100
71,Problema 4.27: Estad�stica de temperatures,87,0,0,100
72,Problema 4.28: Histograma de vocals,87,0,0,100
73,(OPCIONAL) Problema 4.30: Hi ha espais?,87,0,0,100
74,(OPCIONAL) Problema 4.32: Vector de nombres senars,87,0,0,100
75,Problema 4.35: Llista ordenada creixent,87,0,0,100
76,Problema 4.37: Llista amb suma acumulada de 25?,87,0,0,100
77,Problema 4.38: Comparaci� de llistes,87,0,0,100
78,(OPCIONAL) Problema 4.39: PrimerDiferent,87,0,0,100
79,Problema 4.40: Palindrom,87,0,0,100
80,Problema 4.41: Password correcte,87,0,0,100
81,Problema 4.42: El joc del penjat,87,0,0,100
82,Problema 5.1: C�lcul de combinacions,87,0,0,100
83,Problema 5.2: Sumar un segon (funcions),87,0,0,100
84,Problema 5.7: Centenes d'un nombre,87,0,0,100
85,(OPCIONAL) Problema 5.9: Pot�ncia d'un nombre,87,0,0,100
86,Problema 5.13: S�rie de Fibonacci,87,0,0,100
87,Problema 5.21: Divisi� amb sumes i restes (quocient i residu),87,0,0,100
88,(OPCIONAL) Problema 5.23: Funci� m�xim i m�nim,87,0,0,100
89,Problema 5.26: Equacions quadr�tiques,87,0,0,100
90,Problema 5.27: �rea de figures,87,0,0,100
91,Problema 5.3: Alerta,87,0,0,100
92,Problema 5.15: Men� calculadora,87,0,0,100
93,(OPCIONAL) Problema 5.17: Pot�ncies,87,0,0,100
94,Problema 5.4: Temps d'execuci�,87,0,0,100
95,Problema 5.30: Suma de llistes,87,0,0,100
96,Problema 5.32: Llibreria de llistes,87,0,0,100
97,(OPCIONAL) Problema 5.33: Estad�stica temperatures (modular),87,0,0,100
98,Problema 5.34: Histograma de temperatures,87,0,0,100
99,(OPCIONAL) Problema 5.36: OrdenadaDecreixent,87,0,0,100
100,(OPCIONAL) Problema 5.38: BuscarPosicio,87,0,0,100
101,(OPCIONAL) Problema 5.39: LlistaInversa,87,0,0,100
102,Problema 5.42: OrdenarLlista,87,0,0,100
103,Problema 6.1: Escriure / Llegir fitxer,87,0,0,100
104,Problema 6.2: Escriure fitxer mode 'afegir',87,0,0,100
105,Problema 6.3: seek and tell,87,0,0,100
106,Problema 6.5: Lectura l�nea a l�nea de text,87,0,0,100
107,(OPCIONAL) Problema 6.7: Lectura de valors num�rics,87,0,0,100
108,Problema 6.9: Lectura de dades estructurades,87,0,0,100
109,(OPCIONAL) Problema 6.11: Escriptura taula de multiplicar,87,0,0,100
110,Problema 6.13: Afegir dades a un fitxer amb format,87,0,0,100
111,Problema 6.16: Codificar fitxer,87,0,0,100
112,Problema 6.18: Buscar dades en fitxer,87,0,0,100
113,Problema 7.1: Calculadora amb control d'errors,87,0,0,100
114,Problema 7.2: KelvinToFahrenheit,87,0,0,100
115,Problema 7.3: Operador d'strings,87,0,0,100
116,Problema 7.4: Lectura de fitxer,87,0,0,100
117,Problema 7.5: �rea i per�metre circumfer�ncia,87,0,0,100
118,Problema 8.1: Classe Fraccio,87,0,0,100
119,Problema 8.4: Classe Equip,87,0,0,100
120,Problema 8.5: Classe Point,87,0,0,100
121,Problema 8.6: Classe Rectangle,87,0,0,100
122,Problema 8.7: Classe Estudiant,87,0,0,100
123,Problema 8.2: Comptes bancaris,87,0,0,100
124, Problema 8.11: Point2D i Point3D,87,0,0,100
125,Problema 8.12: Comunitat Universitaria,87,0,0,100
126,Problema 8.13: Poligon,87,0,0,100
127, Problema 8.14: Baralla de cartes,87,0,0,100
128,Problema 9.1: Lyrics2list,87,0,0,100
129,Problema 9.2: Anagrama,87,0,0,100
130,Problema 9.3: Paradoxa de l'aniversari,87,0,0,100
131,Problema 9.5: Bisecci�,87,0,0,100
132,Problema 9.6: Parelles inverses,87,0,0,100
133,(OPCIONAL) Problema 9.8: Bubble Sort,87,0,0,100
134,(OPCIONAL) Problema 9.9: Llistes circularment identiques,87,0,0,100
135,Problema 9.11: IBEX,87,0,0,100
136,(OPCIONAL) Problema 9.12 Persones,87,0,0,100
137,Problema 9.13: Estad�stica de temperatures,87,0,0,100
138,Problema 9.15 Fibonacci,87,0,0,100
139,(OPCIONAL) Problema 9.16 Repetici�,87,0,0,100
140,Problema 9.17 Cicle,87,0,0,100
141,Problema 9.18 Majuscules,87,0,0,100
142,Problema 9.19 Notes,87,0,0,100
143,(OPCIONAL) Problema 9.21 Circumf�rencia,87,0,0,100
144,Problema 9.22 Palindrom,87,0,0,100
145,Problema 9.23 Majuscules,87,0,0,100
147,Problema 9.35: Paraules �niques,87,0,0,100
148,Problema 9.36: Ni si ni no ni blanc ni negre,87,0,0,100
149,(OPCIONAL) Problema 9.37: Corrector ortogr�fic,87,0,0,100
150,Problema 9.38: Freq��ncia d'una paraula,87,0,0,100
151,Problema 9.39: Escrutini,87,0,0,100
152,(OPCIONAL) Problema 9.40: Pa�sos,87,0,0,100
153,Problema 9.41: Clients,87,0,0,100
154,Problema 9.46: Morse,87,0,0,100
155,Problema 9.48: Crear Index,87,0,0,100
156,"Entrega Practica 1: Rock, Paper, Scissors, Lizard, Spock",87,1666083300,1675810500,100
165,"Lliurament Practica 1: Rock, Paper, Scissors, Lizard, Spock",87,1666686600,1667602500,100
167,Lliurament Pr�ctica 2: Hotels,87,0,1671749700,100
362,Problema 1.1 - Hello world!!!,92,0,0,100
363,Problema 1.2 - Hello world!!! ++,92,0,0,100
366,Problema 3a.1: C�lcul edat,92,0,0,100
367,Problema 3a.8: Conversi� d�lars a euros,92,0,0,100
368,Problema 3a.11: Mitjana de notes,92,0,0,100
369,Problema 3a.13: Conversi� Celsius a Fahrenheit,92,0,0,100
370,Problema 3a.15: Expressions aritm�tiques amb divisions,92,0,0,100
371,Problema 3a.17: Unitats de miler,92,0,0,100
372,Problema 3a.2: Expressions booleanes,92,0,0,100
373,Problema 3a.3: Operadors l�gics,92,0,0,100
374,Problema 3a.4: Operadors l�gics (II),92,0,0,100
375,Problema 3a.18: Inicials nom i cognom,92,0,0,100
376,Problema 3a.20: Car�cters i codi ASCII,92,0,0,100
377,Problema 3a.21: Expressions l�giques,92,0,0,100
378,(OPCIONAL) Problema 3b.1: �s de l'interval?,92,0,0,100
379,Problema 3b.2: Sumar un segon,92,0,0,100
380,Problema 3b.10: Edat de treballar,92,0,0,100
381,Problema 3b.12: Ordenar dos nombres,92,0,0,100
382,(OPCIONAL) Problema 3b.3: Positiu o negatiu?,92,0,0,100
383,Problema 3b.4: Vocal o Consonant?,92,0,0,100
384,Problema 3b.14: Menor o major d'edat,92,0,0,100
385,Problema 3b.17: Any de trasp�s,92,0,0,100
386,"Problema 3b.5: Positiu, negatiu o zero?",92,0,0,100
387,Problema 3b.6: C�lcul Salari,92,0,0,100
388,Problema 3b.19: Edat i treball,92,0,0,100
389,(OPCIONAL) Problema 3b.20: Iguals o diferents?,92,0,0,100
390,Problema 3b.22: C�lcul del preu final,92,0,0,100
391,Problema 3b.25: Nota acta,92,0,0,100
392,Problema 3b.27: El m�s gran de quatre n�meros,92,0,0,100
393,Problema 3b.7: Men� de tasques,92,0,0,100
394,(OPCIONAL) Problema 3b.8: Vocal o consonant? (versi� 2),92,0,0,100
395,Problema 3b.31: Canvi de divises,92,0,0,100
396,(OPCIONAL) Problema 3b.33: Zod�ac xin�s,92,0,0,100
397,Problema 3b.35: Morse,92,0,0,100
398,Problema 3b.36: Data correcta,92,0,0,100
399,(OPCIONAL) Problema 3b.37: Calculadora,92,0,0,100
400,Problema 3c.1: Sumatori dels 10 primers valors enters,92,0,0,100
401,(OPCIONAL) Problema 3c.2: Sumatori d'un nombre (do-while),92,0,0,100
402,Problema 3c.8: Mitjana d'una seq��ncia,92,0,0,100
403,Problema 3c.10: Seq��ncia de senars?,92,0,0,100
404,Problema 3c.12: Rellotge digital,92,0,0,100
405,Problema 3c.15: Calculadora multi-operaci�,92,0,0,100
406,(OPCIONAL) Problema 3c.3: Sumatori dels 10 primers valors enters,92,0,0,100
407,Problema 3c.4: Sumatori d'un nombre (while),92,0,0,100
408,Problema 3c.17: Mitjana d'una seq��ncia (while),92,0,0,100
409,(OPCIONAL) Problema 3c.19: Seq��ncia de senars? (while),92,0,0,100
410,Problema 3c.20: M�xim i m�nim d'una seq��ncia,92,0,0,100
411,(OPCIONAL) Problema 3c.22: Estad�stica de notes,92,0,0,100
412,Problema 3c.23: �s primer?,92,0,0,100
413,(OPCIONAL) Problema 3c.5: Sumatori dels 10 primers valors enters,92,0,0,100
414,Problema 3c.6: Sumatori d'un nombre (for),92,0,0,100
415,Problema 3c.26: S�ries num�riques,92,0,0,100
416,Problema 3c.28: Positius i negatius,92,0,0,100
417,"Problema 3c.30: Suma, producte i mitjana",92,0,0,100
418,Problema 3c.32: Pot�ncies de 2 menors que N,92,0,0,100
419,Problema 3c.16: Endevina un n�mero,92,0,0,100
420,Problema 4.1: C�lcul de permutacions,92,0,0,100
421,Problema 4.2: Valor aleatori,92,0,0,100
422,(OPCIONAL) Problema 4.7: Centenes d'un nombre,92,0,0,100
423,Problema 4.9: Pot�ncia d'un nombre,92,0,0,100
424,Problema 4.11: Divisi� amb sumes i restes,92,0,0,100
425,Problema 4.13: S�rie de Fibonacci,92,0,0,100
426,(OPCIONAL) Problema 4.3: Alerta,92,0,0,100
427,Problema 4.4: Dues xifres,92,0,0,100
428,Problema 4.15: Men� calculadora,92,0,0,100
429,Problema 4.17: Pot�ncies,92,0,0,100
430,Problema 4.5: Divisi� entera,92,0,0,100
431,Problema 4.6: Actualitzar hora,92,0,0,100
432,(OPCIONAL) Problema: swap,92,0,0,100
433,Problema 4.21: Divisi� amb sumes i restes (quocient i residu),92,0,0,100
434,(OPCIONAL) Problema 4.23: Funci� m�xim i m�nim,92,0,0,100
435,(OPCIONAL) Problema 4.24: Coordenades polars d'un punt,92,0,0,100
436,Problema 4.26: Equacions quadr�tiques,92,0,0,100
438,Problema 4.27: �rea de figures,92,0,0,100
439,Problema 4.28: Moviment d'un punt en la pantalla,92,0,0,100
440,Problema 5a.1: Declarar array unidimensional,92,0,0,100
441,Problema 5a.2: Inicialitzar un array,92,0,0,100
442,Problema 5a.3: Nombre d'aprovats,92,0,0,100
443,Problema 5a.7: Declaraci� i inicialitzaci� d'arrays,92,0,0,100
444,Problema 5a.8: Substituir negatius,92,0,0,100
445,(OPCIONAL) Problema 5a.10: Edat de comen�ar a caminar,92,0,0,100
446,Problema 5a.12: M�xim d'un vector,92,0,0,100
447,Problema 5a.14: Estad�stica de temperatures,92,0,0,100
448,Problema 5a.4: Omplir array o acabar amb el zero,92,0,0,100
449,Problema 5a.5: Vector ordenat en ordre creixent,92,0,0,100
450,Problema 5a.15: Vector de nombres senars,92,0,0,100
451,Problema 5a.17: Vector amb suma acumulada de 25?,92,0,0,100
452,Problema 5a.19: Comparaci� d'arrays,92,0,0,100
453,Problema 5a.6: Suma de vectors,92,0,0,100
454,Problema 5a.20: Llibreria vectors.h,92,0,0,100
455,Problema 5a.21: Llibreria vectors.h (2� part),92,0,0,100
456,(OPCIONAL) Problema 5a.22: Estad�stica temperatures (modular),92,0,0,100
457,Problema 5a.24: Histograma de temperatures,92,0,0,100
458,Problema 5a.26: OrdenatDecreixent,92,0,0,100
459,Problema 5a.28: BuscarPosicio,92,0,0,100
460,Problema 5a.29: InversArray,92,0,0,100
461,(OPCIONAL) Problema 5a.32: OrdenarVector,92,0,0,100
462,Problema 5b.1: Introducci� als strings,92,0,0,100
463,Problema 5b.2: Comparar cadenes,92,0,0,100
464,(OPCIONAL) Problema 5b.4: Bon dia,92,0,0,100
465,Problema 5b.7: TrobarCaracter,92,0,0,100
466,Problema 5b.8: Majuscules,92,0,0,100
467,Problema 5b.10: Palindrom,92,0,0,100
468,Problema 5b.17: PrimerDiferent,92,0,0,100
469,Problema 5c.1: Diagonal d'una matriu,92,0,0,100
470,Problema 5c.2: Suma de matrius,92,0,0,100
471,Problema 5c.3: Inicialitzaci� de matrius,92,0,0,100
472,Problema 5c.4: Llibreria matrius.h,92,0,0,100
473,Problema 5c.6: SumaValorsMatriu,92,0,0,100
474,Problema 5c.9: SimetricaMatriu,92,0,0,100
475,Problema 5c.15: ProducteMatrius,92,0,0,100
476,Problema 5d.1: Creaci� TipusAlumne,92,0,0,100
477,Problema 5d.3: Llibres preferits,92,0,0,100
478,Problema 5d.4: Equips de futbol,92,0,0,100
479,Problema 5d.2: Creaci� Array TipusAlumne,92,0,0,100
480,Problema 5d.7: Tipus Poligon,92,0,0,100
481,Problema 5d.8: Classificaci� de futbol,92,0,0,100
485,Entrega Practica 1: Brain Training,92,1664872200,1665438900,100
486,Entrega Practica 1: Brain Training,92,1665048060,1665611700,100
487,RECUPERACI� Entrega Practica 1: Brain Training,92,0,1671199500,100
491,"Entrega Practica 2: Rock, Paper, Scissors, Lizard, Spock",92,1665469800,1666043700,100
492,"Entrega Practica 2: Rock, Paper, Scissors, Lizard, Spock",92,1665642600,1666216500,100
493,"RECUPERACI� Entrega Practica 2: Rock, Paper, Scissors, Lizard, Spock",92,0,1671192300,100
494,Entrega Practica 3 - 4: MasterMind,92,1666081440,1667256900,100
495,Entrega Practica 3 - 4: MasterMind,92,1666253400,1667429700,100
496,RECUPERACI� Entrega Practica 3 - 4: MasterMind,92,0,1671192300,100
500,Entrega Pr�ctica 5: BlackJack,92,1667891700,1668466500,100
501,Entrega Pr�ctica 5: BlackJack,92,1668063900,1668639300,100
502,RECUPERACI� Entrega Pr�ctica 5: BlackJack,92,0,1671192300,100
1652,RECUPERACIO - Lliurament Pr�ctica 2: Hotels,87,0,1676069700,100
2221,"RECUPERACI�:  Practica 1: Rock, Paper, Scissors, Lizard, Spock",87,1675270800,1676242500,100
2373,Problema 1.1 - Hello world!!!,141,0,0,100
2374,Problema 1.2 - Hello world!!! ++,141,0,0,100
2375,Problema 3a.1: C�lcul edat,141,0,0,100
2376,Problema 3a.8: Conversi� d�lars a euros,141,0,0,100
2377,Problema 3a.11: Mitjana de notes,141,0,0,100
2378,Problema 3a.13: Conversi� Celsius a Fahrenheit,141,0,0,100
2379,Problema 3a.15: Expressions aritm�tiques amb divisions,141,0,0,100
2380,Problema 3a.17: Unitats de miler,141,0,0,100
2381,Problema 3a.2: Operadors relacionals,141,0,0,100
2382,Problema 3a.3: Operadors l�gics,141,0,0,100
2383,Problema 3a.4: Operadors l�gics (II),141,0,0,100
2384,"Problema 3a.18: Nom, cognom i edat",141,0,0,100
2385,Problema 3a.20: Car�cters i codi ASCII,141,0,0,100
2386,Problema 3a.21: Expressions l�giques,141,0,0,100
2387,(OPCIONAL) Problema 3b.1: �s de l'interval?,141,0,0,100
2388,Problema 3b.2: Sumar un segon,141,0,0,100
2389,Problema 3b.10: Edat de treballar,141,0,0,100
2390,Problema 3b.12: Ordenar dos nombres,141,0,0,100
