"userid","aula_id","P_Grade","F_Grade","R_Grade","notaFinal"
176,92,"","9.25","",-99
179,92,"","7.75","",-99
168,92,"","7.75","",-99
401,92,"","3.50","8,25",-99
482,92,"","7.00","",-99
1174,92,"","3.50","8,5",-99
525,92,"","6.00","",-99
175,92,"","9.00","",-99
368,92,"","6.50","",-99
1029,92,"","1.75","4",-99
181,92,"","6.00","",-99
171,92,"","9.75","",-99
128,92,"","4.00","7,25",-99
188,92,"","8.25","",-99
195,92,"","2.00","3",-99
81,92,"","7.25","",-99
73,92,"","6.25","",-99
154,92,"","7.50","",-99
447,92,"","8.00","",-99
522,92,"","3.75","3",-99
478,92,"","3.75","6,75",-99
172,92,"","8.00","",-99
164,92,"","0.00","",-99
433,92,"","1.25","5,25",-99
194,92,"","8.75","",-99
180,92,"","5.00","",-99
191,92,"","3.00","7,25",-99
290,92,"","6.75","",-99
90,92,"","5.75","",-99
187,92,"","6.75","",-99
328,92,"","6.50","",-99
1035,92,"","6.75","",-99
174,92,"","6.75","",-99
190,92,"","6.00","",-99
155,92,"","5.75","",-99
330,92,"","9.25","",-99
1238,92,"","2.00","",-99
166,92,"","7.50","",-99
170,92,"","5.00","",-99
445,92,"","7.75","",-99
184,92,"","8.25","",-99
517,92,"","4.00","",-99
169,92,"","6.00","",-99
192,92,"","9.00","",-99
167,92,"","2.75","4",-99
182,92,"","5.75","",-99
178,92,"","8.00","",-99
158,92,"","6.75","",-99
173,92,"","8.50","",-99
1164,92,"","6.25","",-99
502,92,"","3.75","8,25",-99
232,92,"","5.00","",-99
526,92,"","6.50","",-99
424,92,"","8.00","",-99
156,92,"","9.00","",-99
495,92,"","5.25","",-99
183,92,"","5.50","",-99
165,92,"","7.25","",-99
446,92,"","4.00","6,75",-99
298,92,"","7.75","",-99
1069,92,"","3.75","",-99
186,92,"","8.75","",-99
1201,92,"","0.00","2,5",-99
185,92,"","6.25","",-99
177,92,"","7.50","",-99
1165,92,"","7.50","",-99
408,92,"","8.00","",-99
242,92,"","3.50","6",-99
505,92,"","8.50","",-99
499,92,"","0.75","1,25",-99
524,92,"","3.25","8,25",-99
221,92,"","8.25","",-99
1030,92,"","0.25","",-99
426,92,"","8.00","",-99
291,92,"","1.50","2,5",-99
281,92,"","8.00","",-99
365,92,"","8.25","",-99
486,92,"","2.75","5,25",-99
528,92,"","5.00","",-99
649,92,"","1.25","6,5",-99
1016,92,"","5.25","",-99
217,92,"","7.25","",-99
976,92,"","1.50","4",-99
349,92,"","7.75","",-99
288,92,"","1.75","5,5",-99
473,92,"","4.00","3,25",-99
341,92,"","6.25","",-99
313,92,"","8.50","",-99
331,92,"","5.00","",-99
1324,92,"","2.50","",-99
57,92,"","1.00","",-99
96,92,"","3.00","6,75",-99
868,92,"","3.50","1,25",-99
193,92,"","4.00","6,75",-99
345,92,"","7.00","",-99
238,92,"","8.75","",-99
287,92,"","5.00","",-99
560,92,"","3.00","7,5",-99
1172,92,"","0.75","1,5",-99
289,92,"","5.25","",-99
1059,92,"","7.00","",-99
910,92,"","0.00","",-99
297,92,"","6.75","",-99
82,92,"","4.00","6,75",-99
343,92,"","2.00","2,75",-99
1388,92,"","3.50","6",-99
537,92,"","4.00","5,5",-99
342,92,"","1.75","",-99
464,92,"","7.25","",-99
1000,92,"","2.00","6,25",-99
491,92,"","2.00","1,75",-99
450,92,"","2.50","5",-99
303,92,"","6.50","",-99
77,92,"","3.75","5",-99
475,92,"","0.00","",-99
1053,92,"","3.50","2,25",-99
947,92,"","5.00","",-99
65,92,"","7.25","",-99
1040,92,"","0.25","0",-99
466,92,"","7.00","",-99
334,92,"","4.00","5,75",-99
459,92,"","0.75","6,75",-99
76,92,"","6.75","",-99
35,92,"","5.00","",-99
219,92,"","5.25","",-99
329,92,"","4.00","4",-99
373,92,"","8.75","",-99
1024,92,"","1.75","",-99
913,92,"","3.00","3,25",-99
527,92,"","0.00","",-99
1051,92,"","7.00","",-99
371,92,"","6.75","",-99
509,92,"","0.75","4",-99
470,92,"","1.00","5",-99
367,92,"","7.00","",-99
1036,92,"","0.75","6,5",-99
1005,92,"","6.00","",-99
425,92,"","7.00","",-99
224,92,"","0.75","",-99
310,92,"","2.50","1,25",-99
273,92,"","5.00","",-99
92,92,"","5.00","",-99
800,92,"","5.00","",-99
467,92,"","5.50","",-99
1166,92,"","6.75","",-99
1305,92,"","1.50","6,25",-99
745,92,"","2.25","5,5",-99
228,92,"","7.50","",-99
223,92,"","5.25","",-99
315,92,"","6.50","",-99
1241,92,"","1.75","3",-99
321,92,"","5.75","",-99
277,92,"","8.75","",-99
318,92,"","6.50","",-99
271,92,"","4.00","5,75",-99
144,92,"","6.00","",-99
530,92,"","3.00","6,75",-99
299,92,"","7.75","",-99
275,92,"","8.00","",-99
707,92,"","3.00","5,5",-99
278,92,"","7.00","",-99
300,92,"","6.00","",-99
272,92,"","0.00","0",-99
304,92,"","8.75","",-99
314,92,"","7.00","",-99
1259,92,"","5.00","",-99
305,92,"","7.00","",-99
1192,92,"","3.50","5,25",-99
697,92,"","0.25","",-99
86,92,"","5.50","",-99
733,92,"","6.25","",-99
269,92,"","8.00","",-99
493,92,"","5.75","",-99
980,92,"","5.00","",-99
294,92,"","0.75","1",-99
458,92,"","5.25","",-99
308,92,"","6.75","",-99
302,92,"","8.00","",-99
267,92,"","7.00","",-99
843,92,"","7.75","",-99
276,92,"","0.75","1,5",-99
404,92,"","3.75","4",-99
21,92,"","3.25","",-99
777,92,"","4.00","4",-99
432,92,"","6.00","",-99
324,92,"","6.25","",-99
306,92,"","5.50","",-99
456,92,"","4.00","5,5",-99
283,92,"","7.25","",-99
1211,92,"","4.00","6,25",-99
1193,92,"","5.00","",-99
311,92,"","0.00","2,25",-99
268,92,"","6.25","",-99
820,92,"","7.75","",-99
309,92,"","0.25","0,5",-99
354,92,"","6.50","",-99
307,92,"","4.00","6,5",-99
1062,92,"","1.75","5,5",-99
1197,92,"","5.50","",-99
477,92,"","0.00","",-99
320,92,"","1.75","5",-99
1021,92,"","3.25","9",-99
472,92,"","0.00","",-99
1177,92,"","7.50","",-99
1189,92,"","5.50","",-99
70,92,"","1.50","6,25",-99
319,92,"","8.25","",-99
196,92,"","4.25","8,25",-99
523,92,"","4.00","5,25",-99
533,92,"","5.25","",-99
814,92,"","9.50","",-99
704,92,"","6.75","",-99
1027,92,"","6.50","",-99
435,92,"","6.50","",-99
421,92,"","5.75","",-99
336,92,"","0.50","3,75",-99
1176,92,"","1.75","7",-99
434,92,"","4.00","5,5",-99
1345,92,"","3.25","3,25",-99
672,92,"","4.25","",-99
534,92,"","9.00","",-99
83,92,"","5.00","",-99
385,92,"","5.00","",-99
1307,92,"","0.00","",-99
1022,92,"","6.25","",-99
280,92,"","2.50","3",-99
518,92,"","2.00","4",-99
322,92,"","5.25","",-99
657,92,"","5.00","",-99
462,92,"","0.00","",-99
1013,92,"","0.50","2,5",-99
501,92,"","5.50","",-99
438,92,"","6.25","",-99
443,92,"","3.75","7",-99
1195,92,"","7.75","",-99
317,92,"","6.75","",-99
440,92,"","5.25","",-99
487,92,"","1.00","2,5",-99
327,92,"","6.25","",-99
326,92,"","9.25","",-99
439,92,"","4.00","6",-99
535,92,"","6.00","",-99
452,92,"","8.50","",-99
284,92,"","2.50","4,25",-99
344,92,"","1.75","3,75",-99
1066,92,"","1.25","5",-99
423,92,"","7.50","",-99
448,92,"","6.75","",-99
497,92,"","8.25","",-99
1187,92,"","0.00","",-99
660,92,"","0.00","",-99
1830,143,"","2.6","5,53",-99
1915,143,"","6.9","",-99
2071,143,"","4","6,28",-99
2158,143,"","0.8","1,15",-99
1858,143,"","6.3","",-99
2033,143,"","2.25","6,98",-99
2166,143,"","3.3","5,78",-99
1820,143,"","7.3","",-99
2013,143,"","5.65","",-99
1926,143,"","9","",-99
1843,143,"","8.75","",-99
1825,143,"","3.3","5,4",-99
1842,143,"","3.05","5,1",-99
1957,143,"","8.44","",-99
1882,143,"","9.73","",-99
1833,143,"","4.4","4,48",-99
1835,143,"","5.85","",-99
2230,143,"","5","",-99
1610,143,"","9.2","",-99
522,143,"","5","",-99
1961,143,"","8.84","",-99
1839,143,"","5.75","",-99
1831,143,"","7.88","",-99
1841,143,"","3.45","6",-99
1832,143,"","2.45","1,33",-99
1859,143,"","9.35","",-99
1844,143,"","7.95","",-99
1827,143,"","0.9","7,1",-99
1837,143,"","4","5,3",-99
1886,143,"","5.51","",-99
2245,143,"","1.95","",-99
1824,143,"","6.85","",-99
1883,143,"","0","",-99
1973,143,"","9.25","",-99
1826,143,"","8.01","",-99
1606,143,"","8","",-99
1854,143,"","5","",-99
1829,143,"","5.46","",-99
1828,143,"","2.55","3,55",-99
2047,143,"","5","",-99
2034,143,"","0","",-99
1607,143,"","3.36","2,85",-99
1612,143,"","6","",-99
1987,143,"","8.1","",-99
2195,143,"","8.4","",-99
1602,143,"","9.29","",-99
1851,143,"","5","",-99
1836,143,"","3.05","5,03",-99
2075,143,"","4.1","1,8",-99
2160,143,"","1.65","5,18",-99
1821,143,"","4.5","6,7",-99
1846,143,"","5.6","",-99
1847,143,"","5.9","6,63",-99
1848,143,"","3.75","6,23",-99
1964,143,"","6.8","",-99
1852,143,"","7.82","",-99
2004,143,"","0.66","2,48",-99
1604,143,"","6.05","",-99
1849,143,"","8.05","",-99
2068,143,"","1.8","6,15",-99
1850,143,"","3.76","3,85",-99
2055,143,"","5.75","",-99
1838,143,"","8.65","",-99
2070,143,"","4.1","3,05",-99
1977,143,"","5.85","",-99
2051,143,"","5","",-99
1989,143,"","6.6","",-99
2011,143,"","7","",-99
1960,143,"","3.9","6,85",-99
1974,143,"","8.2","",-99
1980,143,"","9.89","",-99
2172,143,"","0.85","",-99
1928,143,"","8.8","",-99
2221,143,"","7.3","",-99
2072,143,"","2.85","8,5",-99
1874,143,"","6.87","",-99
2022,143,"","7.32","",-99
1873,143,"","5","",-99
1984,143,"","5.9","",-99
1878,143,"","2.7","6,9",-99
57,143,"","2.8","5",-99
2010,143,"","8.7","",-99
1880,143,"","5.81","",-99
1866,143,"","2.6","3,98",-99
1968,143,"","3.85","7,15",-99
2012,143,"","5","5",-99
1869,143,"","5.4","",-99
1879,143,"","8.2","",-99
2190,143,"","5","",-99
1864,143,"","7.65","",-99
1999,143,"","5.64","",-99
1863,143,"","5.05","",-99
2021,143,"","4.4","1,8",-99
2173,143,"","1.1","",-99
2137,143,"","0","6,4",-99
1865,143,"","6.2","",-99
1822,143,"","5.88","",-99
1862,143,"","9.3","",-99
155,143,"","8.65","",-99
2210,143,"","2.7","6,9",-99
343,143,"","1.35","5,18",-99
2027,143,"","5.3","",-99
1969,143,"","6.2","",-99
1605,143,"","3.47","7",-99
2046,143,"","5.35","",-99
1975,143,"","8.9","",-99
2231,143,"","7.6","",-99
1840,143,"","7.74","",-99
2007,143,"","5","",-99
2202,143,"","8.95","",-99
1861,143,"","7.8","",-99
1982,143,"","8.4","",-99
2031,143,"","7.39","",-99
2147,143,"","5.15","",-99
1867,143,"","6.25","",-99
1985,143,"","2.36","2,93",-99
2039,143,"","5","",-99
1201,143,"","7.95","",-99
2155,143,"","6.2","",-99
2006,143,"","9.65","",-99
2038,143,"","6.3","",-99
311,143,"","0","",-99
1877,143,"","5.9","",-99
2014,143,"","0","0",-99
1970,143,"","9.25","",-99
2084,143,"","5.55","",-99
2174,143,"","6.6","",-99
1871,143,"","2.71","5,08",-99
1875,143,"","9.4","",-99
1965,143,"","7.7","",-99
1967,143,"","6.8","",-99
1978,143,"","5.35","",-99
310,143,"","2.45","3,45",-99
1940,143,"","6.9","",-99
1936,143,"","0.95","1,78",-99
168,143,"","9.2","",-99
1962,143,"","3.32","5",-99
2153,143,"","6.45","",-99
291,143,"","6.81","",-99
2151,143,"","5.9","",-99
976,143,"","0","",-99
473,143,"","8.69","",-99
1934,143,"","6.05","",-99
1943,143,"","5.8","",-99
868,143,"","2.75","5,03",-99
1932,143,"","0","",-99
2185,143,"","3.58","4,38",-99
2271,143,"","3.05","1,45",-99
2186,143,"","5","0",-99
1996,143,"","6.9","",-99
1937,143,"","3.15","5,5",-99
1946,143,"","4.31","5",-99
280,143,"","0","",-99
1939,143,"","8.16","",-99
1931,143,"","4.08","5,18",-99
294,143,"","2","4,33",-99
491,143,"","2.44","2,5",-99
1983,143,"","5.65","",-99
1972,143,"","5.15","",-99
1941,143,"","0.55","2,8",-99
1947,143,"","8.5","",-99
1935,143,"","4.05","1,9",-99
1053,143,"","7.51","",-99
276,143,"","4.2","6,45",-99
1979,143,"","7.9","",-99
2253,143,"","1.6","",-99
329,143,"","1.5","9,15",-99
404,143,"","6.88","",-99
913,143,"","5","",-99
1992,143,"","8.35","",-99
2242,143,"","1.45","6,23",-99
777,143,"","3","6,55",-99
2415,143,"","0","",-99
2148,143,"","4.4","",-99
2044,143,"","5.35","",-99
309,143,"","0.5","0,83",-99
2180,143,"","7.7","",-99
1986,143,"","9.15","",-99
1945,143,"","2.6","5,18",-99
2140,143,"","6.05","",-99
2217,143,"","6.9","",-99
1029,143,"","6.1","",-99
2243,143,"","5","",-99
2150,143,"","1","4",-99
2149,143,"","2.38","3,38",-99
2009,143,"","5.6","",-99
1997,143,"","7.7","",-99
2008,143,"","6.8","",-99
2041,143,"","9.35","",-99
2152,143,"","5.13","",-99
1949,143,"","8.05","",-99
1998,143,"","1.05","7",-99
2035,143,"","9.05","",-99
1954,143,"","2.35","4,15",-99
2057,143,"","8.85","",-99
2154,143,"","9.1","",-99
2005,143,"","5","",-99
1951,143,"","8.05","",-99
1953,143,"","6.41","",-99
2235,143,"","0","",-99
1930,143,"","4.42","6,33",-99
2053,143,"","3.35","8,5",-99
1956,143,"","1.55","2,83",-99
1345,143,"","4.51","5,6",-99
1993,143,"","6.5","",-99
1976,143,"","7.9","",-99
2176,143,"","3.13","5",-99
697,143,"","2.95","2,28",-99
2050,143,"","9.5","",-99
2002,143,"","5.9","",-99
1944,143,"","4.05","8,18",-99
2065,143,"","3.75","5,6",-99
1013,143,"","2.55","5,28",-99
2244,143,"","0","",-99
2056,143,"","3.75","4,23",-99
2207,143,"","3.1","",-99
1971,143,"","9.2","",-99
1933,143,"","4.2","6,7",-99
2064,143,"","7.7","",-99
1952,143,"","5","",-99
1995,143,"","5.35","",-99
284,143,"","0","",-99
1942,143,"","8.75","",-99
2015,143,"","3.9","4,08",-99
1938,143,"","3.95","4,35",-99
2003,143,"","2.85","4,03",-99
1966,143,"","3.7","",-99
344,143,"","5","",-99
1959,143,"","5","4,28",-99
2019,143,"","5.75","",-99
2236,143,"","1.4","4,43",-99
2179,143,"","5","",-99
1950,143,"","8.95","",-99
1955,143,"","3.85","5,93",-99
823,87,"5","5.75","",4.19375
347,87,"7","7.25","",5.275
485,87,"8","8.25","",5.875
500,87,"6","5.75","",4.525
991,87,"7.25","7.5","",5.425
453,87,"7","7.25","",5.275
906,87,"9","9.5","",6.55
382,87,"4","0.5","2",2.35
335,87,"5.75","3.75","7,75",3.85
292,87,"6.75","7","",5.125
520,87,"10","9.5","",6.85
227,87,"9.25","9.5","",6.625
763,87,"5.75","5","",4.225
339,87,"8.5","6.75","",5.575
295,87,"9","10","",6.7
1317,87,"7.75","5.25","",4.775
521,87,"8.5","10","",6.55
340,87,"6.5","7.25","",5.125
1023,87,"5.5","7.75","",4.975
346,87,"7.25","6.25","",5.05
987,87,"9","7.5","",5.95
451,87,"3.25","2","7",2.575
469,87,"5.5","4","8,75",3.85
431,87,"5","3.75","8,25",3.625
506,87,"6","6.75","",4.825
1007,87,"9","9.25","",6.475
369,87,"10","9.5","",6.85
1033,87,"5","3.75","8,25",3.625
229,87,"10","10.5","",7.15
481,87,"3","2","5",2.5
241,87,"9","9.25","",6.475
1740,87,"0","0","",-99
372,87,"9.75","10","",-99
437,87,"7.5","8.25","",-99
454,87,"7.75","5.25","",-99
279,87,"8","7.25","",-99
998,87,"7.25","3.75","6,5",-99
441,87,"6.75","5","",-99
370,87,"8.75","6.25","",-99
1050,87,"1.5","3.5","5",-99
427,87,"3.75","5.25","",-99
1369,87,"0","0","",-99
872,87,"6.25","2.5","3,25",-99
782,87,"9.25","7.75","",-99
1749,141,"6.16","3.9","8,15",-99
2273,141,"5.09","5","",-99
1722,141,"6.14","9.5","",-99
1723,141,"0","0","1",-99
1726,141,"8.59","2.9","7,25",-99
1711,141,"9.1","9.9","",-99
1981,141,"3.9","4.65","7,25",-99
1734,141,"5.58","8.1","",-99
1741,141,"6.25","5.95","",-99
1991,141,"4.8","6.05","",-99
1737,141,"1.01","0.2","2,5",-99
1717,141,"6.79","9.4","",-99
1712,141,"9.65","8.04","",-99
1745,141,"8.21","9.4","",-99
1713,141,"1.58","0.9","2,2",-99
1739,141,"5.53","3.6","6",-99
1742,141,"1.66","5.8","",-99
1715,141,"8.75","9.6","",-99
1718,141,"1.95","3.45","5,3",-99
1720,141,"9.45","9.3","",-99
1744,141,"9.63","7.8","",-99
1730,141,"8","9.2","",-99
1317,141,"8.19","0","",-99
1735,141,"3.1","6.65","",-99
1738,141,"0","0","",-99
1716,141,"9.05","9.4","",-99
1731,141,"0.4","4.45","4",-99
1719,141,"0","8.35","",-99
1725,141,"9.9","9","",-99
1729,141,"7.9","8.7","",-99
2272,141,"8.8","8.35","",-99
1746,141,"6.09","4.4","9,15",-99
1748,141,"6.8","5.2","",-99
2073,141,"4.24","9.5","",-99
1721,141,"8.45","6.3","",-99
1750,141,"8.85","8.8","",-99
1727,141,"3.84","1.1","6,85",-99
1743,141,"7.02","7.95","",-99
1733,141,"9.45","9.7","",-99
1724,141,"5.9","4.1","7,3",-99
1728,141,"4.48","5.65","",-99
1929,141,"6.41","7.4","",-99
1736,141,"6.33","7.4","",-99
2200,141,"0.38","2.2","3,5",-99
1752,141,"0","0","",-99
794,87,"2.5","2","5",-99
591,87,"6","0.5","5",-99
724,87,"7.25","5.25","",-99
792,87,"3.25","5.75","",-99
893,87,"5.25","5.5","",-99
779,87,"1.75","0.25","0",-99
881,87,"3","2.75","8,25",-99
1391,87,"1","0","",-99
1017,87,"5","6.25","",-99
780,87,"3.5","0","2",-99
888,87,"5.5","5","",-99
790,87,"3.5","6","",-99
882,87,"8.25","7.25","",-99
875,87,"5.75","5.5","",-99
798,87,"8","8","",-99
891,87,"3","5.75","",-99
789,87,"2.25","1.5","2",-99
887,87,"4.75","4.25","4,5",-99
873,87,"3.75","5.5","",-99
1236,87,"2","1","1,75",-99
885,87,"6.25","6.75","",-99
1039,87,"2.75","4","8,25",-99
878,87,"1.25","5","",-99
886,87,"8","5.75","",-99
874,87,"8.75","8","",-99
797,87,"5","7","",-99
994,87,"1","0","",-99
870,87,"1","2.5","3",-99
864,87,"2.75","3.25","6,25",-99
859,87,"3.75","2.5","8,75",-99
890,87,"6","8","",-99
721,87,"8.25","8","",-99
1034,87,"7.25","7.75","",-99
1221,87,"4.75","5.25","",-99
1260,87,"0","0","",-99
876,87,"2.75","5.25","",-99
807,87,"6.5","7.25","",-99
889,87,"3.25","2","2,5",-99
1018,87,"8.5","9","",-99
1078,87,"0","4","5",-99
894,87,"5.5","6","",-99
723,87,"2.25","3.5","5,75",-99
641,87,"5","4.25","5",-99
1333,87,"6.75","6.25","",-99
805,87,"3.25","2.5","6,5",-99
877,87,"4","5.5","",-99
1047,87,"7","7.5","",-99
1019,87,"7.25","7.25","",-99
1215,87,"1.75","3","3,75",-99
781,87,"8","6.75","",-99
880,87,"3.5","0.5","5",-99
861,87,"3.25","7.25","",-99
1068,87,"9.75","8.75","",-99
860,87,"9","8.25","",-99
1384,87,"3","0","",-99
787,87,"7","0","5",-99
862,87,"5.75","3.5","8,5",-99
884,87,"1.25","1.25","2,5",-99
808,87,"9","7.75","",-99
801,87,"7","7.5","",-99
892,87,"7.25","4.25","8",-99
858,87,"9.5","7.75","",-99
1025,87,"4","0","1,5",-99
793,87,"5.5","3.75","5",-99
1044,87,"9","5.75","",-99
1003,87,"3.25","5","",-99
871,87,"3","1.5","4",-99
1676,141,"0","0","",-99
1647,141,"5.58","8.25","",-99
1657,141,"4.53","6.9","",-99
1674,141,"5.5","5.7","",-99
1686,141,"7.95","6.2","",-99
1681,141,"5.05","5.35","",-99
1702,141,"7.08","0.5","7,86",-99
2016,141,"1.95","5.75","",-99
789,141,"3","0","3,2",-99
887,141,"7.23","6","",-99
1635,141,"8.35","5","",-99
870,141,"2.5","2.3","5",-99
1669,141,"6.33","6.1","",-99
1927,141,"0","0","3,1",-99
1260,141,"3.85","0.75","5,3",-99
1671,141,"4.5","2.1","8,36",-99
889,141,"4.65","6.4","",-99
2030,141,"9.78","9.45","",-99
1654,141,"5.65","3.9","8,46",-99
1655,141,"6.94","8.8","",-99
1700,141,"0.15","1.2","2,55",-99
1652,141,"6.7","6.5","",-99
1679,141,"9.25","6.45","",-99
1623,141,"0","0","3,75",-99
1670,141,"5.95","7.95","",-99
1680,141,"2.18","0.1","1,9",-99
1675,141,"7.13","5.3","",-99
1673,141,"0","0.4","5",-99
1688,141,"2.13","2.4","5,12",-99
1753,141,"3.15","0","0,32",-99
1637,141,"8.65","5.74","",-99
1704,141,"1.8","0.3","3,1",-99
1663,141,"6.63","7.4","",-99
1658,141,"8.2","9.1","",-99
1958,141,"","2.2","4,27",-99
1644,141,"4.75","2.05","6,1",-99
1636,141,"6.18","6.3","",-99
1650,141,"5.5","0.6","5,11",-99
779,141,"1.45","0","0,36",-99
1661,141,"2.28","4.7","7,16",-99
1648,141,"2.33","3.4","8,39",-99
1651,141,"4.9","1.35","5",-99
1668,141,"3.48","0.2","2,26",-99
1662,141,"1.15","0","3,67",-99
2026,141,"5.37","1.9","5,51",-99
1649,141,"2.5","7.2","",-99
1660,141,"3.68","2.3","2,9",-99
1646,141,"5.28","1.4","7,76",-99
1684,141,"0.68","2","2,31",-99
1653,141,"7.99","7.9","",-99
1639,141,"2.43","1.25","3,88",-99
1659,141,"6.1","3.2","5,73",-99
1638,141,"6.72","9.8","",-99
1640,141,"6.1","7.5","",-99
1634,141,"2.73","1.25","7,48",-99
1215,141,"5.95","5","",-99
1632,141,"3.03","7.6","",-99
1664,141,"6.55","3.7","7,96",-99
1641,141,"9.85","9","",-99
884,141,"1.3","1.3","5,1",-99
1642,141,"4.75","2.9","5,93",-99
1633,141,"7.6","5.1","",-99
1656,141,"5.88","8.04","",-99
2043,141,"7.8","2","6,26",-99
1685,141,"2.35","0.2","0,76",-99
